zone_id,class_id,tipo_intervencion,area_m2,area_ha,volumen_m3,prioridad
6871,1,Conservación hídrica,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
6872,1,Conservación hídrica,1825.818530013659,0.1825818530013659,12.694498300502179,Baja
6873,1,Conservación hídrica,1095.4911180082024,0.10954911180082025,7.616698980301356,Baja
6874,4,Retención / almacenamiento puntual,365.16370600271097,0.036516370600271096,2.538899660100291,Baja
6875,4,Retención / almacenamiento puntual,1095.4911180081676,0.10954911180081676,7.616698980301114,Baja
6876,1,Conservación hídrica,365.16370600271097,0.036516370600271096,2.538899660100291,Baja
6877,1,Conservación hídrica,365.16370600271097,0.036516370600271096,2.538899660100291,Baja
6878,1,Conservación hídrica,365.16370600271097,0.036516370600271096,2.538899660100291,Baja
6879,1,Conservación hídrica,365.16370600271097,0.036516370600271096,2.538899660100291,Baja
6880,1,Conservación hídrica,365.16370600271097,0.036516370600271096,2.538899660100291,Baja
6881,1,Conservación hídrica,365.16370600271097,0.036516370600271096,2.538899660100291,Baja
6882,4,Retención / almacenamiento puntual,365.16370600271097,0.036516370600271096,2.538899660100291,Baja
6883,1,Conservación hídrica,365.16370600271097,0.036516370600271096,2.538899660100291,Baja
6884,1,Conservación hídrica,365.16370600271097,0.036516370600271096,2.538899660100291,Baja
6885,5,Manejo urbano,365.16370600271097,0.036516370600271096,2.538899660100291,Baja
6886,1,Conservación hídrica,365.16370600271097,0.036516370600271096,2.538899660100291,Baja
6887,1,Conservación hídrica,365.16370600271097,0.036516370600271096,2.538899660100291,Baja
6888,1,Conservación hídrica,365.16370600271097,0.036516370600271096,2.538899660100291,Baja
6889,1,Conservación hídrica,365.16370600271097,0.036516370600271096,2.538899660100291,Baja
6890,1,Conservación hídrica,365.16370600271097,0.036516370600271096,2.538899660100291,Baja
6891,1,Conservación hídrica,365.16370600271097,0.036516370600271096,2.538899660100291,Baja
6892,1,Conservación hídrica,1825.8185300136593,0.18258185300136592,12.69449830050218,Baja
6893,4,Retención / almacenamiento puntual,730.3274120054567,0.07303274120054568,5.077799320200824,Baja
6894,1,Conservación hídrica,730.3274120054567,0.07303274120054568,5.077799320200824,Baja
6895,4,Retención / almacenamiento puntual,730.3274120766442,0.07303274120766443,5.077799320695774,Baja
6896,1,Conservación hídrica,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
6897,1,Conservación hídrica,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
6898,4,Retención / almacenamiento puntual,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
6899,4,Retención / almacenamiento puntual,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
6900,1,Conservación hídrica,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
6901,1,Conservación hídrica,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
6902,4,Retención / almacenamiento puntual,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
6903,4,Retención / almacenamiento puntual,730.3274120054915,0.07303274120054914,5.077799320201065,Baja
6904,1,Conservación hídrica,6207.78300204647,0.620778300204647,43.16129422170761,Baja
6905,1,Conservación hídrica,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
6906,1,Conservación hídrica,730.3274120410853,0.07303274120410852,5.07779932044854,Baja
6907,1,Conservación hídrica,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
6908,4,Retención / almacenamiento puntual,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
6909,5,Manejo urbano,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
6910,5,Manejo urbano,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
6911,1,Conservación hídrica,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
6912,1,Conservación hídrica,3651.6370600273867,0.3651637060027387,25.388996601004834,Baja
6913,1,Conservación hídrica,730.3274120054915,0.07303274120054914,5.077799320201065,Baja
6914,1,Conservación hídrica,730.3274120054915,0.07303274120054914,5.077799320201065,Baja
6915,1,Conservación hídrica,730.3274120054915,0.07303274120054914,5.077799320201065,Baja
6916,4,Retención / almacenamiento puntual,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
6917,1,Conservación hídrica,365.1637060383395,0.036516370603833954,2.538899660348008,Baja
6918,1,Conservación hídrica,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
6919,1,Conservación hídrica,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
6920,1,Conservación hídrica,730.3274120054915,0.07303274120054914,5.077799320201065,Baja
6921,4,Retención / almacenamiento puntual,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
6922,1,Conservación hídrica,730.3274120054915,0.07303274120054914,5.077799320201065,Baja
6923,5,Manejo urbano,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
6924,1,Conservación hídrica,1095.4911180082372,0.10954911180082372,7.616698980301598,Baja
6925,1,Conservación hídrica,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
6926,1,Conservación hídrica,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
6927,1,Conservación hídrica,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
6928,1,Conservación hídrica,1095.4911180082372,0.10954911180082372,7.616698980301598,Baja
6929,5,Manejo urbano,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
6930,5,Manejo urbano,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
6931,1,Conservación hídrica,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
6932,1,Conservación hídrica,730.3274120054915,0.07303274120054914,5.077799320201065,Baja
6933,1,Conservación hídrica,730.3274120054915,0.07303274120054914,5.077799320201065,Baja
6934,1,Conservación hídrica,1095.4911181149837,0.10954911181149837,7.616698981043782,Baja
6935,1,Conservación hídrica,1095.4911180082024,0.10954911180082025,7.616698980301356,Baja
6936,1,Conservación hídrica,1095.4911180082024,0.10954911180082025,7.616698980301356,Baja
6937,1,Conservación hídrica,730.3274120054567,0.07303274120054568,5.077799320200824,Baja
6938,1,Conservación hídrica,730.3274120054567,0.07303274120054568,5.077799320200824,Baja
6939,1,Conservación hídrica,365.16370600271097,0.036516370600271096,2.538899660100291,Baja
6940,1,Conservación hídrica,365.16370600271097,0.036516370600271096,2.538899660100291,Baja
6941,1,Conservación hídrica,365.16370600271097,0.036516370600271096,2.538899660100291,Baja
6942,1,Conservación hídrica,365.16370600271097,0.036516370600271096,2.538899660100291,Baja
6943,4,Retención / almacenamiento puntual,365.16370600271097,0.036516370600271096,2.538899660100291,Baja
6944,4,Retención / almacenamiento puntual,730.3274120054219,0.07303274120054219,5.077799320200582,Baja
6945,5,Manejo urbano,365.16370600271097,0.036516370600271096,2.538899660100291,Baja
6946,4,Retención / almacenamiento puntual,365.16370600271097,0.036516370600271096,2.538899660100291,Baja
6947,1,Conservación hídrica,365.16370600271097,0.036516370600271096,2.538899660100291,Baja
6948,1,Conservación hídrica,1460.6548240108787,0.14606548240108785,10.155598640401404,Baja
